asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,lat_lon,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,asset_name,asset_type,st_astext
136113487,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,396251.19,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,1.025118711,tonnes_coal_extracted,2022-10-10 23:24:31.549209,,No. 4 Mine,Bituminous,POINT(-84.8191555 35.318222)
136113514,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,82310,3517.5,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.4,tonnes_coal_extracted,2022-10-10 23:24:31.563767,,Cerrejón Coal Mine,Bituminous,POINT(-72.662926 11.033968)
136113487,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,1097004.14,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,1.025118711,tonnes_coal_extracted,2022-10-10 23:24:31.549225,,No. 4 Mine,Bituminous,POINT(-84.8191555 35.318222)
136113514,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.4,tonnes_coal_extracted,2022-10-10 23:24:31.563779,,Cerrejón Coal Mine,Bituminous,POINT(-72.662926 11.033968)
136113488,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.105687018,tonnes_coal_extracted,2022-10-10 23:24:31.550022,,Solomon Run Coal Mine,Bituminous,POINT(-78.852361 40.260417)
136113514,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,2452823.1,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.4,tonnes_coal_extracted,2022-10-10 23:24:31.563794,,Cerrejón Coal Mine,Bituminous,POINT(-72.662926 11.033968)
136113488,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,446,4221,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.105687018,tonnes_coal_extracted,2022-10-10 23:24:31.550037,,Solomon Run Coal Mine,Bituminous,POINT(-78.852361 40.260417)
136113514,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,6790533.75,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.4,tonnes_coal_extracted,2022-10-10 23:24:31.563805,,Cerrejón Coal Mine,Bituminous,POINT(-72.662926 11.033968)
136113488,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.105687018,tonnes_coal_extracted,2022-10-10 23:24:31.55005,,Solomon Run Coal Mine,Bituminous,POINT(-78.852361 40.260417)
136113515,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,22.5,tonnes_coal_extracted,2022-10-10 23:24:31.564229,,El Descanso Coal Mine,Bituminous,POINT(-73.5231884 9.7050912)
136113488,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,13293.93,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.105687018,tonnes_coal_extracted,2022-10-10 23:24:31.550066,,Solomon Run Coal Mine,Bituminous,POINT(-78.852361 40.260417)
136113515,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,79144,3517.5,tonnes_gas_per_coal_extracted,,coal_mine_depth,,22.5,tonnes_coal_extracted,2022-10-10 23:24:31.564242,,El Descanso Coal Mine,Bituminous,POINT(-73.5231884 9.7050912)
136113488,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,36803.65,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.105687018,tonnes_coal_extracted,2022-10-10 23:24:31.550078,,Solomon Run Coal Mine,Bituminous,POINT(-78.852361 40.260417)
136113515,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,22.5,tonnes_coal_extracted,2022-10-10 23:24:31.564253,,El Descanso Coal Mine,Bituminous,POINT(-73.5231884 9.7050912)
136113515,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,2358483.75,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,22.5,tonnes_coal_extracted,2022-10-10 23:24:31.564268,,El Descanso Coal Mine,Bituminous,POINT(-73.5231884 9.7050912)
136113489,GBR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.23,tonnes_coal_extracted,2022-10-10 23:24:31.550554,,Aberpergwm Coal Mine,Anthracite,POINT(-3.644329 51.740824)
136113515,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,6529359.38,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,22.5,tonnes_coal_extracted,2022-10-10 23:24:31.564279,,El Descanso Coal Mine,Bituminous,POINT(-73.5231884 9.7050912)
136113489,GBR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,6756,29372.8,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.23,tonnes_coal_extracted,2022-10-10 23:24:31.550568,,Aberpergwm Coal Mine,Anthracite,POINT(-3.644329 51.740824)
136113516,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,21,tonnes_coal_extracted,2022-10-10 23:24:31.564699,,Shenhua Baorixile Surface Coal Mine,Lignite,POINT(119.746017 49.391925)
136113489,GBR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,0.23,tonnes_coal_extracted,2022-10-10 23:24:31.55058,,Aberpergwm Coal Mine,Anthracite,POINT(-3.644329 51.740824)
