asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,created_date,modified_date,asset_name,asset_type,st_astext
5110260,KWT,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,n2o,,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.515557,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110423,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2,141536.2064,0.021210186,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525311,IDN,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,1185308.342,,,2022-10-20 08:17:59.515564,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110423,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,ch4,4895.823088,0.000733673,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
5110423,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525311,IDN,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,2327034.591,,,2022-10-20 08:17:59.51557,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110423,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,287431.7344,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2,602364.1898,0.049934575,,2022-10-20 08:17:59.51578,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_20yr,571337.1089,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,15716.91887,0.001302896,,2022-10-20 08:17:59.515788,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,959114.816,0.020995454,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.515796,,Tunu-NG,Gas,POINT(5.6238 4.8932)
5110423,KWT,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,27511.35773,0.000602236,tonnes_gas_per_product_produced,2022-09-15 13:05:14.069849,,North Kuwait,Oil,POINT(47.7006 29.876699999999996)
985525312,NGA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_100yr,1070728.372,,,2022-10-20 08:17:59.515803,,Tunu-NG,Gas,POINT(5.6238 4.8932)
